# Export uit de database. Formaat: van;naar;opmerking
spooky tooth|maxigold that was only yesterday;spooky tooth|that was only yesterday;top40.nl zet de uitgave voor het nummer
status quo|live roll over lay down;status quo|roll over lay down;top40.nl zet de uitgave voor het nummer
status quo|something bout you baby i like;status quo|something about you baby i like;zelfde nummer, andere schrijfwijze (bron kent er twee)
stef ekkel|op de lange latten golddiggers music;stef ekkel|op de lange latten golddiggers remix;2020 oranje
stephen stills manassas|the maxi years of atlantic vol 7 maxi single so begins the task;stephen stills manassas|so begins the task;top40.nl zet de uitgave voor het nummer
steve rowland and the family dogg|sweet america;steve rowland & the family dogg|sweet america;typefout in de artiestnaam (Steve Rowland and The Family Dogg -> Steve Rowland & The Family Dogg), vastgesteld met MusicBrainz/Wikipedia
super sister|radio;supersister|radio;zelfde artiest, andere spatiëring of afkorting
super sister|she was naked;supersister|she was naked;zelfde artiest, andere spatiëring of afkorting
susanne veldmeijer|wat kan mij het schelen;susanna veldmeijer|wat kan mij het schelen;typefout in de artiestnaam (Susanne Veldmeijer -> Susanna Veldmeijer), vastgesteld met MusicBrainz/Wikipedia
susanne|wat kan mij het schelen;susanne veldmeijer|wat kan mij het schelen;2011 oranje
suzanne michaels|it should be christmas every day;suzanne michaels|it should be christmas everyday;zelfde nummer, andere schrijfwijze (bron kent er een)
suzie quatro|the race is on;suzi quatro|the race is on;typefout in de artiestnaam (Suzie Quatro -> Suzi Quatro), vastgesteld met MusicBrainz/Wikipedia
swv|right here human nature;s w v|right here human nature;zelfde artiest, andere spatiëring of afkorting
sylvain poons & oetze verschoor|zuiderzee ballade;sylvain poons & oetze verschoor|zuiderzeeballade;zelfde nummer, andere schrijfwijze (bron kent er twee)
t n n|ayayay cielito;tnn|ayayay cielito;zelfde artiest, andere spatiëring of afkorting
tamperer & maya|feel it;tamperer & maya|feel it;typefout in de artiestnaam (Tamperer & Maya -> The Tamperer featuring Maya), vastgesteld met MusicBrainz/Wikipedia
taylor swift|willow willow dancing witch version elvira remix;taylor swift|willow;"Discogs: Willow; de Dancing Witch Version is een latere hernoeming"
tc berry|1992 funky guitar;tc berry|funky guitar;top40.nl zet de uitgave voor het nummer
therese steinmetz|geef ze een kans;therese steinmetz|geef ze n kans;zelfde nummer, andere schrijfwijze (bron kent er geen)
therese steinmetz|speel het spel;therese steinmetz|speel t spel;zelfde nummer, andere schrijfwijze (bron kent er twee)
thomas berge|niet meer niet minder;thomas berge|niet meer en niet minder;2008 oranje
thomas berge|niets teveel;thomas berge|niets te veel;2011 oranje
timi yuro|hurt nieuwe versie hurt oude versie;timi yuro|hurt;Discogs: de NL-persingen van 1961 en 1981 heten allebei gewoon Hurt
tino martin & gerard joling|laat me even;tino martin & gerard joling|laat me leven;2017 oranje
tjeerd|ik weet niet waarom;tjeerd henstra|ik weet niet waarom;Achternaam ontbrak in de eerste twee weken.
tom jones gert timmerman presenteert fred jasper|delilah;tom jones|delilah;
twentyone pilots|ride;twenty one pilots|ride;zelfde artiest, andere spatiëring of afkorting
twentyone pilots|stressed out;twenty one pilots|stressed out;zelfde artiest, andere spatiëring of afkorting
twista & kayne west & jamie foxx|slow jamz;twista|slow jamz;2004 top40
ub 40|if it happens again;ub40|if it happens again;zelfde artiest, andere spatiëring of afkorting
ultra beat|pretty green eyes;ultrabeat|pretty green eyes;zelfde artiest, andere spatiëring of afkorting
v o f de kunst|dikkertje dap live;vof de kunst|dikkertje dap live;zelfde artiest, andere spatiëring of afkorting
v o f de kunst|k wil niet met een ander dansen;vof de kunst|k wil niet met een ander dansen;zelfde artiest, andere spatiëring of afkorting
v o f de kunst|oude liefde roest niet;vof de kunst|oude liefde roest niet;zelfde artiest, andere spatiëring of afkorting
vader abraham showorkest|camp;vader abraham show orkest|camp;typefout in de artiestnaam (Vader Abraham Showorkest -> Vader Abraham Show Orkest), vastgesteld met MusicBrainz/Wikipedia
van orly|calling out;vanorly|calling out;zelfde artiest, andere spatiëring of afkorting
vandikhout|1 keer alles;van dik hout|1 keer alles;zelfde artiest, andere spatiëring of afkorting
vandikhout|als de dag aanbreekt;van dik hout|als de dag aanbreekt;zelfde artiest, andere spatiëring of afkorting
vandikhout|de keuzes die je maakt;van dik hout|de keuzes die je maakt;zelfde artiest, andere spatiëring of afkorting
vandikhout|de zon achterna;van dik hout|de zon achterna;zelfde artiest, andere spatiëring of afkorting
vandikhout|dromendief;van dik hout|dromendief;zelfde artiest, andere spatiëring of afkorting
vandikhout|laat het los live op lowlands;van dik hout|laat het los live op lowlands;zelfde artiest, andere spatiëring of afkorting
vandikhout|mijnheldzijn;van dik hout|mijnheldzijn;zelfde artiest, andere spatiëring of afkorting
vandikhout|stap voor stap live ahoy;van dik hout|stap voor stap live ahoy;zelfde artiest, andere spatiëring of afkorting
vanvelzen|lovesong;vanvelzen|love song;zelfde nummer, andere schrijfwijze (bron kent er twee)
vester|voor altijd in mijn hart;vester weert|voor altijd in mijn hart;2019 oranje
vlemmix & roos|een bussie vol met polen;vlemmix & roos|een busje vol met polen;zelfde nummer, andere schrijfwijze (bron kent er een)
wannebiezz de|ech wel;wannebiezz|ech wel;vastgestelde schrijfwijze levert een andere sleutel op
wannebiezz de|goeiemorge zonneschijn deel ii;wannebiezz|goeiemorge zonneschijn deel ii;vastgestelde schrijfwijze levert een andere sleutel op
wannebiezz de|het leven is mooi;wannebiezz|het leven is mooi;vastgestelde schrijfwijze levert een andere sleutel op
wannebiezz de|ken het zijn;wannebiezz|ken het zijn;vastgestelde schrijfwijze levert een andere sleutel op
wannebiezz de|mijn eerste vlam;wannebiezz|mijn eerste vlam;vastgestelde schrijfwijze levert een andere sleutel op
wannebiezz de|oh ja joh;wannebiezz|oh ja joh;vastgestelde schrijfwijze levert een andere sleutel op
wannebiezz de|trouw zijn geeft gedonder;wannebiezz|trouw zijn geeft gedonder;vastgestelde schrijfwijze levert een andere sleutel op
wannebiezz de|wat ik leuk vind aan jou;wannebiezz|wat ik leuk vind aan jou;vastgestelde schrijfwijze levert een andere sleutel op
wannebiezz|goeiemorge zonneschijn deel ii;wannebiezz de|goeiemorge zonneschijn deel ii;2023 oranje
white town|abort retry fail your woman;white town|your woman;top40.nl zet de uitgave voor het nummer
wilfred genee johan derksen edwin evers|helden;edwin evers|helden;2012 oranje
wilfred genee johan derksen en edwin evers|helden;wilfred genee johan derksen edwin evers|helden;2012 oranje
willem barth|bella bella signorina;willem barth|bella bella signorita;2010 oranje
willemien|moeder er zit een muis in de hoek moeder er zit n muis in de hoek;willemien|moeder er zit n muis in de hoek;MusicBrainz: Moeder er zit n muis in de hoek
william de vaughn|be thankful for what you got;william devaughn|be thankful for what you got;zelfde nummer, andere spatiëring
william smulders|zij is van mij;willam smulders|zij is van mij;2010 oranje
willy en willeke alberti|chi ri bi ri bin pom pom pom pom;willy & willeke alberti|chi ri bi ri bin pom pom pom pom;typefout in de artiestnaam (Willy en Willeke Alberti -> Willy & Willeke Alberti), vastgesteld met MusicBrainz/Wikipedia
willy en willeke alberti|een reisje langs de rijn;willy & willeke alberti|een reisje langs de rijn;typefout in de artiestnaam (Willy en Willeke Alberti -> Willy & Willeke Alberti), vastgesteld met MusicBrainz/Wikipedia
wimmie|als jij het niet meer weet;wimmie bouma|als jij het niet meer weet;2013 oranje
wolter kroes & isabella|ik ben je prooi uit utopia;wolter kroes & isabella|ik ben je prooi;2014 oranje
wolter kroes|viva hollandia ek versie;wolter kroes|viva hollandia;2008 oranje
wolter kroes|viva hollandia wk 2010;wolter kroes|viva hollandia 2010;zelfde nummer, andere schrijfwijze (bron kent er een)
zanger rinus en ronnie ruysdael & debora|eet veel bananen;rinus en ronnie ruysdael & debora|eet veel bananen;2013 oranje
